BlockType,DescriptionType,SentencePosition,Phrase
AUTO_REPAIR,inside,first,"The tools are scattered and rusted, and the air smells of old oil and decay."
AUTO_REPAIR,inside,first,"The interior is cluttered with rusted tools, disassembled car parts, and broken machines scattered haphazardly across the floor."
AUTO_REPAIR,inside,first,"The walls are covered in oil stains and grease marks, with shelves of tools and parts lining the corners."
AUTO_REPAIR,inside,first,"A single flickering light overhead casts long shadows across the abandoned service bays, with old car engines lying in pieces on the floor."
AUTO_REPAIR,inside,first,"The scent of stale gasoline and oil fills the air, mixing with the musty smell of old tires and mechanical parts."
AUTO_REPAIR,inside,first,"Empty toolboxes are scattered around the workshop, and old, rusted car parts sit in piles in every corner."
AUTO_REPAIR,inside,second,Broken car parts and discarded tires create an obstacle course on the floor.
AUTO_REPAIR,inside,second,"The workbenches are cluttered with tools and broken car components, while grease-stained rags lie abandoned on the floor."
AUTO_REPAIR,inside,second,"The overhead lights flicker intermittently, casting a dim glow over the heaps of metal, wires, and discarded tires."
AUTO_REPAIR,inside,second,"Old vehicles, stripped of valuable parts, sit motionless in the service bays, covered in dust and cobwebs."
AUTO_REPAIR,inside,second,"Oil stains the cracked concrete floor, and the hum of an old refrigerator can be heard faintly in the back."
AUTO_REPAIR,inside,second,"Rusting car parts are stacked against the walls, and the smell of mechanical oil still hangs in the air."
AUTO_REPAIR,inside,third,"A workbench sits in the corner, its surface covered in grease and ancient stains."
AUTO_REPAIR,inside,third,The building is eerily silent except for the occasional creak of the metal structure shifting with age.
AUTO_REPAIR,inside,third,"A lone car frame sits near the back, its rusted body a reminder of the shop’s former purpose."
AUTO_REPAIR,inside,third,"The remains of old repair manuals and scraps of paper litter the workbenches, forgotten after years of neglect."
AUTO_REPAIR,inside,third,"The workshop has a haunting stillness, with only the faint sound of a door creaking in the wind breaking the silence."
AUTO_REPAIR,inside,third,"A couple of broken tools lie abandoned on the counter, and an old car battery leaks in the corner of the room."
AUTO_REPAIR,outside,first,"The garage's sign is faded and barely legible, with letters missing or dangling precariously."
AUTO_REPAIR,outside,first,"The auto repair shop is a crumbling shell, with the faded remnants of a once-vibrant sign hanging loosely above the door."
AUTO_REPAIR,outside,first,"The building's exterior is rusted and beaten by the elements, the paint chipped and peeling."
AUTO_REPAIR,outside,first,"Broken car parts and abandoned tools are scattered around the entrance, a testament to the shop's former purpose."
AUTO_REPAIR,outside,first,"A large bay door stands half open, revealing shadows of what might have once been a working garage."
AUTO_REPAIR,outside,first,"The small, dilapidated structure is surrounded by piles of scrap metal, old tires, and other discarded automotive debris."
AUTO_REPAIR,outside,second,"A few rusted car frames sit abandoned outside, stripped of anything useful."
AUTO_REPAIR,outside,second,"The windows are cracked, and the faded sign above the door barely reads 'Auto Repair' through the grime."
AUTO_REPAIR,outside,second,"The garage doors are rusted and stuck, with a tangle of metal wires hanging from one corner."
AUTO_REPAIR,outside,second,"Oil stains cover the cracked concrete outside, and a pile of scrap metal blocks the walkway leading to the entrance."
AUTO_REPAIR,outside,second,"The once-bustling service station now stands silent, its bay doors ajar but its insides long emptied of life."
AUTO_REPAIR,outside,second,"The concrete outside is chipped and worn, with tire tracks leading up to the entrance, long since abandoned."
AUTO_REPAIR,outside,third,"The corrugated metal roof is bent and riddled with holes, offering little protection."
AUTO_REPAIR,outside,third,"A faint smell of gasoline and oil still lingers in the air, though the building seems otherwise abandoned."
AUTO_REPAIR,outside,third,"The cracked asphalt outside is littered with broken tools and pieces of wrecked cars, evidence of past repairs."
AUTO_REPAIR,outside,third,"Dust settles over the exterior, but an occasional gust of wind shifts the litter around the yard."
AUTO_REPAIR,outside,third,"An eerie quiet surrounds the building, with only the sound of creaking metal from within breaking the silence."
AUTO_REPAIR,outside,third,"The garage is dark, its windows covered in grime, but the outline of vehicles can still be seen inside."
CARPARK,outside,first,Rows of empty spaces are filled with broken glass and overgrown weeds.
CARPARK,outside,first,"Rows of empty, weathered parking spaces stretch out before you, each one marked with faded white lines."
CARPARK,outside,first,"The cracked asphalt is littered with debris, while weeds push through the gaps in the pavement."
CARPARK,outside,first,"A rusting metal gate is slightly ajar, the remnants of an old sign hanging loosely above."
CARPARK,outside,first,"The smell of oil and gasoline still lingers in the air, despite the long abandonment."
CARPARK,outside,first,"Abandoned vehicles sit scattered throughout the lot, some stripped of their parts, others in varying stages of decay."
CARPARK,outside,second,"A single rusted car remains, its tires deflated and its windows smashed."
CARPARK,outside,second,"Faded yellow lines divide the parking spaces, many of which are now cracked and uneven."
CARPARK,outside,second,"A single, broken streetlight flickers weakly, casting dim light over the lot as dusk settles."
CARPARK,outside,second,"The ground is littered with trash, old car tires, and empty bottles, evidence of long-forgotten visitors."
CARPARK,outside,second,"A few derelict cars remain, their windows shattered, and their paint peeling from years of exposure to the elements."
CARPARK,outside,second,"Graffiti covers the walls of the surrounding buildings, adding a touch of urban decay to the desolate lot."
CARPARK,outside,third,"The concrete structure looms above, its once-bright paint now faded and peeling."
CARPARK,outside,third,"A cold breeze sweeps through the lot, carrying with it the faint scent of rust and old rubber."
CARPARK,outside,third,"The empty spaces are eerily quiet, with only the sound of distant wind moving through the cracked pavement."
CARPARK,outside,third,"A lone, rusted vending machine stands in a corner, its glass shattered and its contents long gone."
CARPARK,outside,third,"The empty carpark feels vast and abandoned, as if no one has been here in years."
CARPARK,outside,third,"A broken-down vehicle, covered in vines, serves as a grim reminder of the past."
CEMETERY,outside,first,"Rows of gravestones stretch into the distance, some toppled and others shrouded in moss."
CEMETERY,outside,first,"Rows of weathered gravestones stretch out across the cemetery, their inscriptions barely legible."
CEMETERY,outside,first,"Tall, rusting wrought-iron gates stand open, leading into the graveyard, their hinges creaking in the wind."
CEMETERY,outside,first,"A large stone mausoleum looms in the center, covered in creeping ivy and bathed in shadows."
CEMETERY,outside,first,"A lone raven perched on a gravestone watches silently, its feathers ruffled by the cold wind."
CEMETERY,outside,first,"The cemetery’s wrought-iron fence is broken in places, leaving gaps where the earth has started to reclaim it."
CEMETERY,outside,second,"A wrought-iron gate stands ajar, its rusted hinges protesting with each gust of wind."
CEMETERY,outside,second,"Moss and lichen grow thick on the tombstones, making the once-pristine markers blend with the earth."
CEMETERY,outside,second,"The distant howling of wind echoes through the cemetery, disturbing the otherwise eerie silence."
CEMETERY,outside,second,"A cracked and broken statue of an angel stands at the entrance, its face eroded by time."
CEMETERY,outside,second,The smell of damp earth and decaying leaves fills the air as the wind stirs the tall grass.
CEMETERY,outside,second,"Sunlight filters through the branches of nearby trees, casting long shadows across the cemetery grounds."
CEMETERY,outside,third,"The silence is deafening, broken only by the rustle of dead leaves underfoot."
CEMETERY,outside,third,"A chill runs through the air, carrying the faint scent of decay and forgotten memories."
CEMETERY,outside,third,"The gravestones are uneven, some leaning and others sunken into the earth, as if being slowly pulled under."
CEMETERY,outside,third,The soft murmur of the wind moving through the trees is the only sound that breaks the silence.
CEMETERY,outside,third,"A faded photograph of a long-dead person rests against a gravestone, as if left by a forgotten visitor."
CEMETERY,outside,third,"A thin layer of fog lingers near the ground, making the cemetery feel even more desolate."
CHURCH,inside,first,"The altar is covered in dust, with tattered cloth and broken candlesticks scattered nearby."
CHURCH,inside,first,"The pews are rotting and covered in dust, their once-pristine wood now warped and brittle."
CHURCH,inside,first,"The air is thick with mildew, the faint scent of old incense still lingering despite the years of abandonment."
CHURCH,inside,first,"The altar is covered in cobwebs, with a faded cloth draped over it, stained with years of neglect."
CHURCH,inside,first,"Shattered stained glass windows filter a faint, muted light into the otherwise dark church."
CHURCH,inside,first,"The interior of the church is eerily still, with forgotten hymns echoing faintly in the emptiness."
CHURCH,inside,second,"Pews are overturned, some reduced to piles of splinters by time and neglect."
CHURCH,inside,second,"The walls are cracked and covered in grime, with faded murals of saints barely visible through the layers of dirt."
CHURCH,inside,second,"The pews are overturned, and the floors are littered with broken shards of glass from the windows."
CHURCH,inside,second,"Old candles sit in the remains of their holders, their wax long melted into dark, hardened pools."
CHURCH,inside,second,"The once-vibrant altar is now a rotting husk, the wood cracked and the religious symbols faded."
CHURCH,inside,second,"The air is still and heavy, and the silence is broken only by the faint creaks of the old wooden beams."
CHURCH,inside,third,"Light streams through the shattered windows, casting fractured rainbows on the cracked floor."
CHURCH,inside,third,"A cold draft moves through the shattered windows, adding to the chill that has settled over the abandoned pews."
CHURCH,inside,third,"The faint sound of a distant bell chimes from the ruined steeple above, sending a shiver through the cold air."
CHURCH,inside,third,"The walls are covered in dust and mold, with the faint outline of old church banners still clinging to the walls."
CHURCH,inside,third,"The once grand organ is now a pile of broken pipes and rotting wood, its haunting music long silenced."
CHURCH,inside,third,"A forgotten prayer book lies open on the altar, its pages yellowed and brittle, as if left there just yesterday."
CHURCH,outside,first,"The steeple leans precariously, with ivy crawling up its weathered surface."
CHURCH,outside,first,"The church’s steeple rises crookedly against the sky, its cross now worn and rusted from years of neglect."
CHURCH,outside,first,"The weathered stone walls of the church are covered in ivy, with parts of the roof missing, exposing the interior to the elements."
CHURCH,outside,first,"The doors to the church hang loosely on their hinges, cracked and covered in years of grime."
CHURCH,outside,first,"The facade of the church is crumbling, with broken windows revealing the shadowy interior."
CHURCH,outside,first,"The steeple leans dangerously, its stones cracked and chipped, with a faint bell still hanging in the tower."
CHURCH,outside,second,The large wooden doors are splintered and hang awkwardly on rusted hinges.
CHURCH,outside,second,"A tangle of overgrown vines snakes around the entrance, slowly overtaking the building."
CHURCH,outside,second,"The stained glass windows are shattered, leaving only fragments of colored glass scattered on the ground."
CHURCH,outside,second,"A rusted iron fence surrounds the church, with several sections knocked down, allowing weeds to grow freely inside."
CHURCH,outside,second,"The stone path leading to the entrance is cracked and overrun with weeds, barely visible through the wild growth."
CHURCH,outside,second,The once-pristine grounds are now a graveyard for overgrown grass and neglected statues.
CHURCH,outside,third,Cracked stained glass windows depict faded scenes of saints and angels.
CHURCH,outside,third,"The church is bathed in the dim light of a setting sun, casting long shadows across the neglected yard."
CHURCH,outside,third,"The silence around the church is deafening, broken only by the occasional rustle of leaves in the wind."
CHURCH,outside,third,"A feeling of abandonment hangs heavy over the church, its doors open but the building forgotten by time."
CHURCH,outside,third,"The weathered stone cross atop the church seems to sag under the weight of time, its edges worn smooth by the years."
CHURCH,outside,third,"The building is eerily quiet, with no sounds of life except the distant cries of birds overhead."
FACTORY,inside,first,"The assembly line is frozen in time, its conveyor belts covered in dust and debris."
FACTORY,inside,first,"The interior is a cavernous space, filled with rusted machinery, broken conveyor belts, and discarded tools."
FACTORY,inside,first,"Dust motes dance in the dim light filtering through broken windows, and the air is thick with the smell of oil and metal."
FACTORY,inside,first,"Massive, rusted machines sit idle, their gears frozen and covered in cobwebs, with abandoned workstations scattered throughout the room."
FACTORY,inside,first,"The factory floor is littered with torn blueprints and broken equipment, a stark contrast to its once-bustling energy."
FACTORY,inside,first,"Oil stains and metal shavings cover the floors, and the faint echo of past operations can still be heard in the empty halls."
FACTORY,inside,second,"Industrial machinery lies dormant, massive and imposing in the dim light."
